ID,Nome do navio,Manobra,Data rebocador,Data manobra,Origem,Destino,Rebocador,Situação
1,LOG-IN EXPERIENCE,Desatracação e Saída,2025-08-11 10:59:14.064626,2025-08-11 10:40:00,Salvador - P. Sul - BE,Oceano Salvador,AtriaLynx,CONFIRMADA
2,EPAMINONDAS,Entrada e Atracação,,2025-08-11 13:00:00,Oceano Salvador,Salvador - P. Sul - BE,,PREVISTA
3,HTK NEW SKY,Entrada e Fundeio,,2025-08-11 14:00:00,Oceano Salvador,Fund A2,,PREVISTA
4,BARTOLOMEU DIAS,Desatracação e Saída,,2025-08-11 15:00:00,Salvador - C. Santa Dulce - BB,Oceano Salvador,,PREVISTA
5,BEAUTY LOTUS,Entrada e Atracação,,2025-08-15 01:00:00,Oceano Ilhéus,Malhado 101 S - BB,,PREVISTA
1,LOG-IN EXPERIENCE,Desatracação e Saída,2025-08-11 10:59:14.064626,2025-08-11 10:40:00,Salvador - P. Sul - BE,Oceano Salvador,AtriaLynx,CONFIRMADA
2,EPAMINONDAS,Entrada e Atracação,2025-08-11 11:57:04.188142,2025-08-11 13:00:00,Oceano Salvador,Salvador - P. Sul - BE,AtriaItaquiLynx,CONFIRMADA
3,HTK NEW SKY,Entrada e Fundeio,,2025-08-11 14:00:00,Oceano Salvador,Fund A2,,PREVISTA
4,BARTOLOMEU DIAS,Desatracação e Saída,,2025-08-11 15:00:00,Salvador - C. Santa Dulce - BB,Oceano Salvador,,PREVISTA
5,BEAUTY LOTUS,Entrada e Atracação,,2025-08-15 01:00:00,Oceano Ilhéus,Malhado 101 S - BB,,PREVISTA
6,SANTA INES,Entrada e Atracação,,2025-08-11 18:00:00,Oceano Salvador,Salvador - C. Santa Dulce - BB,,PREVISTA
1,LOG-IN EXPERIENCE,Desatracação e Saída,2025-08-11 10:59:14.064626,2025-08-11 10:40:00,Salvador - P. Sul - BE,Oceano Salvador,AtriaLynx,CONFIRMADA
2,EPAMINONDAS,Entrada e Atracação,2025-08-11 11:59:47.032933,2025-08-11 13:00:00,Oceano Salvador,Salvador - P. Sul - BE,AtriaItaquiLynx,CONFIRMADA
3,HTK NEW SKY,Entrada e Fundeio,,2025-08-11 14:00:00,Oceano Salvador,Fund A2,,PREVISTA
4,BARTOLOMEU DIAS,Desatracação e Saída,,2025-08-11 15:00:00,Salvador - C. Santa Dulce - BB,Oceano Salvador,,PREVISTA
5,BEAUTY LOTUS,Entrada e Atracação,,2025-08-15 01:00:00,Oceano Ilhéus,Malhado 101 S - BB,,PREVISTA
6,SANTA INES,Entrada e Atracação,,2025-08-11 18:00:00,Oceano Salvador,Salvador - C. Santa Dulce - BB,,PREVISTA
1,LOG-IN EXPERIENCE,Desatracação e Saída,2025-08-11 10:59:14.064626,2025-08-11 10:40:00,Salvador - P. Sul - BE,Oceano Salvador,AtriaLynx,CONFIRMADA
2,EPAMINONDAS,Entrada e Atracação,2025-08-11 12:03:17.399849,2025-08-11 13:00:00,Oceano Salvador,Salvador - P. Sul - BE,AtriaItaquiLynx,CONFIRMADA
3,HTK NEW SKY,Entrada e Fundeio,,2025-08-11 14:00:00,Oceano Salvador,Fund A2,,PREVISTA
4,BARTOLOMEU DIAS,Desatracação e Saída,,2025-08-11 15:00:00,Salvador - C. Santa Dulce - BB,Oceano Salvador,,PREVISTA
5,BEAUTY LOTUS,Entrada e Atracação,,2025-08-15 01:00:00,Oceano Ilhéus,Malhado 101 S - BB,,PREVISTA
6,SANTA INES,Entrada e Atracação,,2025-08-11 18:00:00,Oceano Salvador,Salvador - C. Santa Dulce - BB,,PREVISTA
1,LOG-IN EXPERIENCE,Desatracação e Saída,2025-08-11 10:59:14.064626,2025-08-11 10:40:00,Salvador - P. Sul - BE,Oceano Salvador,AtriaLynx,CONFIRMADA
2,EPAMINONDAS,Entrada e Atracação,2025-08-11 12:03:34.527884,2025-08-11 13:00:00,Oceano Salvador,Salvador - P. Sul - BE,AtriaItaquiLynx,CONFIRMADA
3,HTK NEW SKY,Entrada e Fundeio,,2025-08-11 14:00:00,Oceano Salvador,Fund A2,,PREVISTA
4,BARTOLOMEU DIAS,Desatracação e Saída,,2025-08-11 15:00:00,Salvador - C. Santa Dulce - BB,Oceano Salvador,,PREVISTA
5,BEAUTY LOTUS,Entrada e Atracação,,2025-08-15 01:00:00,Oceano Ilhéus,Malhado 101 S - BB,,PREVISTA
6,SANTA INES,Entrada e Atracação,,2025-08-11 18:00:00,Oceano Salvador,Salvador - C. Santa Dulce - BB,,PREVISTA
